Date,Open,High,Low,Close,Volume
1972-09-05,970.1,977.4,964.6,969.4,2397744
1972-09-06,969.4,970.4,958.9,963.4,2709023
1972-09-07,963.4,968,957.4,962.5,2501504
1972-09-08,962.5,968.2,957.3,961.2,2476692
1972-09-11,961.2,964.6,951.1,955,2415789
1972-09-12,955,957.9,940.6,946,3058647
1972-09-13,946,954.1,941.3,949.9,2948120
1972-09-14,949.9,955.3,942.1,947.6,2819549
1972-09-15,947.6,952.3,940.6,947.3,2636842
1972-09-18,947.3,951.2,938.7,945.4,2003008
1972-09-19,945.4,952.4,939.1,943.2,3006767
1972-09-20,943.2,946.1,934.8,940.3,2702256
1972-09-21,940.3,945.4,932.7,939.5,2693233
1972-09-22,939.5,949,934.4,943,2835338
1972-09-25,943,947.5,933.1,935.7,2463158
1972-09-26,935.7,942.1,927.2,936.6,2966165
1972-09-27,936.6,949.1,933,947.3,3297744
1972-09-28,947.3,956.9,939.9,955.2,3318045
1972-09-29,955.2,965.1,949.1,953.3,3665414
1972-10-02,953.3,959.6,945.4,953.3,2806015
1972-10-03,953.3,960,948.2,954.5,2952632
1972-10-04,954.5,964.1,947.9,951.3,3753383
1972-10-05,951.3,955.7,937.5,941.3,3999248
1972-10-06,941.3,954.4,930.4,945.4,3751128
1972-10-09,945.4,952.2,941,948.8,1790977
1972-10-10,948.8,960.5,946.3,951.8,3002256
1972-10-11,951.8,956.1,941.6,946.4,2684211
1972-10-12,946.4,947.1,932.4,937.5,2961654
1972-10-13,937.5,940.2,923.8,930.5,2903008
1972-10-16,930.5,934.5,919.3,921.7,2467669
1972-10-17,921.7,931.3,917.1,926.5,3024812
1972-10-18,926.5,940.9,925.8,932.3,3900000
1972-10-19,932.3,939.3,926.7,932.1,3124060
1972-10-20,932.1,946.7,928,942.8,3550376
1972-10-23,945.2,958.3,945.2,951.3,3200752
1972-10-24,951.3,957.1,941.3,952.5,3437594
1972-10-25,952.5,958.5,945,951.4,3931579
1972-10-26,951.4,962.5,946.3,950.6,4689474
1972-10-27,950.6,956.2,941.1,946.4,3489474
1972-10-30,946.4,950.7,936.6,946.4,2666165
1972-10-31,946.4,958.5,944.4,955.5,3484962
1972-11-01,955.5,975.2,955.3,968.5,4818045
1972-11-02,968.5,977.8,961.8,973.1,4666917
1972-11-03,973.1,988.9,969.2,984.1,5077444
1972-11-06,984.1,993.4,977.1,984.8,4811278
1972-11-08,984.8,998.4,978.6,983.7,5553383
1972-11-09,983.7,992.3,973.9,988.3,3843609
1972-11-10,988.3,1007.2,986.1,995.3,5494737
1972-11-13,995.3,1004.9,988.5,997.1,3881955
1972-11-14,997.1,1006.9,991.1,1003.2,4556391
1972-11-15,1003.2,1013.6,993.1,998.4,5248872
1972-11-16,998.4,1008.1,991.6,1003.7,4416541
1972-11-17,1003.7,1012.3,998.6,1005.6,4560902
1972-11-20,1005.6,1011.1,997.1,1005,3762406
1972-11-21,1005,1017.6,1002.9,1013.3,4987218
1972-11-22,1013.3,1026.9,1009.9,1020.5,5528571
1972-11-24,1020.5,1029.7,1014.2,1025.2,3554887
1972-11-27,1025.2,1026.9,1008.7,1017.8,4103008
1972-11-28,1017.8,1026.8,1012.6,1019.3,4333083
1972-11-29,1019.3,1023.6,1011.9,1018.8,3920301
1972-11-30,1018.8,1025.8,1010.5,1018.2,4362406
1972-12-01,1018.2,1031.5,1016.6,1023.9,5090977
1972-12-04,1023.9,1033.2,1021.5,1027,4450376
1972-12-05,1027,1030.9,1017.5,1023,4015038
1972-12-06,1023,1031.2,1018.3,1027.5,4197744
1972-12-07,1027.5,1037.9,1025.4,1033.3,4357895
1972-12-08,1033.3,1039.2,1027.2,1033.2,4066917
1972-12-11,1033.2,1041.3,1029.8,1036.3,3886466
1972-12-12,1036.3,1042.4,1029.7,1033.2,3843609
1972-12-13,1033.2,1036.7,1025.1,1030.5,3730827
1972-12-14,1030.5,1035.5,1020.1,1025.1,4044361
1972-12-15,1025.1,1034.7,1018.6,1027.2,4127820
1972-12-18,1022.1,1022.1,1004.3,1013.3,3956391
1972-12-19,1013.3,1018,1004.1,1009.2,3834586
1972-12-20,1009.2,1015,1001.9,1004.8,4170677
1972-12-21,1004.8,1010.9,996.1,1000,4125564
1972-12-22,1000,1010,996.8,1004.2,2828571
1972-12-26,1004.2,1010.9,999.9,1006.7,2508271
1972-12-27,1006.7,1014.2,1001.1,1007.7,4308271
1972-12-29,1008.6,1027.4,1008.6,1020,6214286
1973-01-02,1022.9,1039,1022.9,1031.7,3854887
1973-01-03,1032.2,1049.6,1032.2,1043.8,4651128
1973-01-04,1043.8,1047.9,1027.6,1039.8,4563158
1973-01-05,1039.8,1053.4,1037.4,1047.5,4360150
1973-01-08,1047.5,1053.6,1040.9,1047.9,3798496
1973-01-09,1047.9,1053.2,1040.5,1047.1,3796241
1973-01-10,1047.1,1053.3,1040.9,1046.1,4709774
1973-01-11,1046.1,1067.2,1039.3,1051.7,5650376
1973-01-12,1051.7,1059.9,1033.4,1039.4,5014286
1973-01-15,1039.4,1053.3,1022.9,1025.6,4854135
1973-01-16,1025.6,1033.3,1014.4,1024.3,4324060
1973-01-17,1024.3,1036.4,1020.3,1029.1,3987970
1973-01-18,1029.1,1040,1024,1029.1,4017293
1973-01-19,1029.1,1031.7,1014,1026.2,3839098
1973-01-22,1026.2,1034.7,1014.5,1018.8,3512030
1973-01-23,1018.8,1024.7,1007.2,1018.7,4299248
1973-01-24,1018.7,1025.7,998.6,1004.6,4707519
1973-01-26,1004.6,1008.5,989.5,1003.5,4766165
1973-01-29,1003.5,1008.8,988.2,996.5,3311278
1973-01-30,996.5,1005.3,989.1,992.9,3444361
